epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,24971.3,0.91389,0.86645,1.22403,0.84652,0.74907,0.81767,0.61338,1.05758,0.78033,1.39103,0.004786,0.004786,0.004786
160,25137.4,0.9077,0.85366,1.22234,0.85218,0.74516,0.81663,0.61299,1.05716,0.78111,1.39045,0.004753,0.004753,0.004753
161,25300.7,0.91703,0.87263,1.22466,0.85505,0.74581,0.81742,0.61434,1.05503,0.78068,1.38841,0.00472,0.00472,0.00472
162,25458.3,0.91983,0.8531,1.22661,0.86076,0.74615,0.81923,0.61554,1.05411,0.77988,1.38642,0.004687,0.004687,0.004687
163,25623.3,0.91898,0.86257,1.22335,0.8619,0.74474,0.82006,0.61571,1.05357,0.77653,1.38535,0.004654,0.004654,0.004654
164,25789.3,0.90887,0.8619,1.22253,0.86172,0.74807,0.82116,0.61735,1.05359,0.77425,1.38486,0.004621,0.004621,0.004621
165,25955.6,0.90431,0.84029,1.21631,0.86346,0.74649,0.81981,0.6182,1.05286,0.77488,1.38409,0.004588,0.004588,0.004588
166,26119.6,0.89305,0.83642,1.20799,0.85502,0.74925,0.82315,0.61769,1.05221,0.77544,1.38399,0.004555,0.004555,0.004555
167,26281.7,0.89992,0.85457,1.21993,0.85869,0.7468,0.82319,0.61813,1.0529,0.77218,1.38606,0.004522,0.004522,0.004522
168,26439.1,0.89683,0.83936,1.20786,0.85763,0.74787,0.82366,0.61777,1.05135,0.77087,1.38582,0.004489,0.004489,0.004489
169,26595.6,0.89499,0.84101,1.2108,0.8544,0.74506,0.82304,0.61756,1.05084,0.76808,1.38514,0.004456,0.004456,0.004456
170,26752,0.88945,0.83366,1.20669,0.84026,0.7543,0.82322,0.61839,1.04975,0.76779,1.38502,0.004423,0.004423,0.004423
171,26908.4,0.8813,0.82494,1.20835,0.8388,0.75667,0.82313,0.61864,1.04965,0.76817,1.3858,0.00439,0.00439,0.00439
172,27065,0.88532,0.82705,1.20563,0.86035,0.7401,0.82138,0.6183,1.0476,0.76868,1.38367,0.004357,0.004357,0.004357
173,27221.2,0.88453,0.82366,1.20304,0.86368,0.73967,0.82351,0.61983,1.04522,0.76583,1.38213,0.004324,0.004324,0.004324
174,27377.8,0.88283,0.83162,1.20146,0.86564,0.73719,0.82228,0.61931,1.04415,0.76526,1.38157,0.004291,0.004291,0.004291
175,27534.4,0.88369,0.81872,1.19657,0.84694,0.74487,0.82412,0.61941,1.04453,0.76387,1.38291,0.004258,0.004258,0.004258
176,27690.8,0.87747,0.81451,1.19325,0.84099,0.74807,0.82371,0.62,1.04371,0.76312,1.38226,0.004225,0.004225,0.004225
177,27847.1,0.88908,0.82868,1.20206,0.83801,0.75095,0.82363,0.62,1.04253,0.76204,1.38181,0.004192,0.004192,0.004192
178,28003.8,0.88383,0.82879,1.20149,0.83343,0.75333,0.82339,0.62043,1.04167,0.7628,1.38204,0.004159,0.004159,0.004159
179,28160.4,0.87453,0.81284,1.19535,0.84295,0.75194,0.82328,0.62059,1.04,0.76173,1.38173,0.004126,0.004126,0.004126
180,28316.8,0.85957,0.7961,1.18275,0.84828,0.75183,0.82402,0.62145,1.03903,0.7601,1.38113,0.004093,0.004093,0.004093
181,28473,0.86763,0.80845,1.19765,0.84917,0.75423,0.82373,0.62083,1.03861,0.75924,1.38118,0.00406,0.00406,0.00406
182,28629,0.8678,0.78911,1.18877,0.84786,0.75511,0.823,0.6216,1.03686,0.75544,1.38033,0.004027,0.004027,0.004027
